@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %03s "TLe"
@ ORIGIN           %16s "5.03.04 Linux 64"
@ DATE             %08s "05/06/17"
@ TIME             %08s "10.49.27"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le 
 "QUATT004"          "QUADRUPOLE"                   18.7184               0.15                  0       -6.107368634     -0.08811139021        9.837278538      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "WCMTT001"          "MARKER"                       18.7184                  0                  0       -6.107368634     -0.08811139021        9.837278538      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "SLTTT001"          "MARKER"                       18.7184                  0                  0       -6.107368634     -0.08811139021        9.837278538      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "D14A"              "DRIFT"                        20.5074              1.789                  0       -6.342629986       0.0144093634        10.15531244      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "CHVTT004"          "KICKER"                       20.5074                  0                  0       -6.342629986       0.0144093634        10.15531244      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "D14B"              "DRIFT"                        20.7634              0.256                  0        -6.37629511      0.02907974514        10.20082205      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "QUATT005"          "QUADRUPOLE"                   20.9134               0.15                  0       -6.396020769      0.03767567194        10.22748783      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "QUATT005"          "QUADRUPOLE"                   21.0634               0.15                  0       -6.415746427      0.04627159873        10.25415361      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "D15A"              "DRIFT"                        21.8884              0.825                  0       -6.524237548      0.09354919612        10.40081542      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "SIPTT002"          "MARKER"                       21.8884                  0                  0       -6.524237548      0.09354919612        10.40081542      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "D15B"              "DRIFT"                        22.7134              0.825                  0        -6.63272867       0.1408267935        10.54747723      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
 "FL2TT001"          "MARKER"                       22.7134                  0                  0        -6.63272867       0.1408267935        10.54747723      -0.6369001753      0.05707880866      0.07598595238      0.07598595238          0          0                  0                  0
